id	bibtex_key	title	author	author_full	url	local	h-index	Cited by	journal	journal_edited	year	Complex question subtype	What related works are cited?	Approach	Tool name	Is training necessary?	Is it open source? Link?	Knowledge Base	Metric	Dataset	How the work try to solve the complex question problem?	Pipeline de para construção da resposta (Normalmente é reconhecimento de entidade, extração de relações entre entidades etc)	Other informations	Scenario	Está disponível? Se sim, pegar o link/ref 	Limitações do trabalho? Oq ficou faltando?
45	yih2015semantic	Semantic parsing via staged query graph generation: Question answering with knowledge base	Yih, Scott Wen-tau and Chang, Ming-Wei and He, Xiaodong and Gao, Jianfeng	Wen-tau Yih/ Ming-Wei Chang/ Xiaodong He/ Jianfeng Gao	https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/ACL15-STAGG.pdf	Conference	9	419	Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers)	ACL, IJCNLP	2015	Multi-hop questions		Semantic Parsing, Neural Networks	STAGG	Sim, para o analisador semantico	X	Freebase	Precision, Recall, F1	WebQuestions	Semantically analyzes the question, maps the logical form in Acalculus and generates a graph using SPARQL	we propose a semantic parsing framework that leverages the knowledge base more tightly when forming the parse for an input question. We first define a query graph that can be straightforwardly mapped to a logical form in λcalculus. Semantic parsing is then reduced to query graph generation, formulated as a search problem with staged states and actions.	STAGG	General	X	X
46	liang2017neural	Neural symbolic machines: Learning semantic parsers on freebase with weak supervision	Liang, Chen and Berant, Jonathan and Le, Quoc and Forbus, Kenneth D and Lao, Ni	Chen Liang/ Jonathan Berant/ Quoc Le/ Kenneth D. Forbus/ Ni Lao	https://www.aclweb.org/anthology/P17-1003.pdf	Conference	135	220	Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics	ACL	2017	Multi-hop questions	Stagg	Semantic Parsing, Neural Networks	NSM	S	X	Freebase	Precision, Recall, F1, Accuracy	WebQuestionsSP		NSM  first describing the “computer”, a non-differentiable Lisp interpreter that executes programs against a large KB and provides code assistance. We then propose a seq2seq model that supports compositionality using a key-variable memory to save and reuse intermediate results. Finally, we describe a training procedure that is based on REINFORCE, but is augmented with pseudo-gold programs found by an iterative ML training procedure. Before diving into details, we define the semantic parsing task: given a knowledge base K, and a question x = (w1, w2, ..., wm), produce a program or logical form z that when executed against K generates the right answer y	NSM	General	X	
47	hua2020less	Less is more: Data-efficient complex question answering over knowledge bases	Hua, Y., Li, Y.-F., Qi, G., Wu, W., Zhang, J., Qi, D.	Yuncheng Hua/ Yuan-Fang Lib/ Guilin Qi/ Wei Wua/ Jingyao Zhanga/ Daiqing Qi	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092912571&doi=10.1016%2fj.websem.2020.100612&partnerID=40&md5=9c65c767c9d71d00d294ff9451c6fc24	Journal	31	1	Journal of Web Semantics	Journal of Web Semantics	2020	Multi-hop questions	KVmem, CIPITR, NSM, Vanilla, PG	Semantic Parsing, Neural Networks	NS-CQA	Sim, faz treinamento da pergunta que o sistema gerou com a resposta correta e tem um sistema de recompensa	https://github.com/DevinJake/NS-CQA	Freebase	F1	CSQA/CQA, WebQuestionsSP	It trains a policy to generate the desired programs from the comparison between the generated answer and the ground-truth result	By combining the question and the output of the parser, the neural generator transforms the query into a sequence of primitive actions. The symbolic executor executes the actions on the KB to obtain an answer.		General	Sim	X
48	qiu2020hierarchical	Hierarchical Query Graph Generation for Complex Question Answering over Knowledge Graph	Qiu, Y., Zhang, K., Wang, Y., Jin, X., Bai, L., Guan, S., Cheng, X.	Yunqi Qiu/ Kun Zhang/ Yuanzhuo Wang/ Xiaolong Jin/ Long Bai/ Saiping Guan/ Xueqi Cheng	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095863448&doi=10.1145%2f3340531.3411888&partnerID=40&md5=cbe5e3e3e2941cafd2c21324112f5d66	Conference	54	0	International Conference on Information and Knowledge Management, Proceedings	CIKM	2020	Multi-hop questions	MulCNN, QAoverFB, Aqqu, QUINT, GraphParser, NFF, STF, STAGG, MulCG, CompQA, Tree2Seq	Semantic Parsing, Neural Networks	DAC	S	X	Freebase	Precision, Recall, F1	WebQuestions, ComplexQuestions	The system selects an option to determine which type of triple is needed. Then the Actor selects primitive actions to add the chosen type of triple into the query graph, and the Critic calculates a semantic score between the newly generated triple and the given question	We first introduce the definition of the query graph, and formulate the query graph generation as a hierarchical decision process. Then we describe constant node linking, which is the foundation of the query graph generation. Next, we introduce the question encoder and the graph encoder, both of which provide constituents of the states in the decision process.		General	X	X
49	gu2020learning	Learning to Answer Complex Questions with Evidence Graph	Gu, G., Li, B., Gao, H., Wang, M.	Gao Gu/ Bohan Li/ Han Gao/ Meng Wang	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093980534&doi=10.1007%2f978-3-030-60259-8_20&partnerID=40&md5=8ebc5a63d8c66de31deabcbd81e092e1	Conference	9	0	4th International Joint Conference, APWeb-WAIM 2020	APWeb-WAIM	2020	Multi-hop questions	DrQA, QUEST, Stagg, OQA	Semantic Parsing, Neural Networks	EGQA	S	X	Wikidata	MRR, Hit, Precision	HEAD-QA	we propose a method to combine text and KG to solve complex questions. The method works by extracting knowledge graphs from wikipedia and using a trained graph neural network to get the answers.	(1) find documents from Wikipedia according to the given question, (2) build the raw graph based on the SPO (Subject-Predication-Object) triples extracted from the documents, (3) extract the candidate evidence graphs from the raw graph, and (4) use the AGNN to find the most relevant evidence graph to find the final answer. We elaborate on each part in the following subsections.	Combinação de Grafos com Texto para responder	health	X	X
50	zhang2020mutual	Mutual relation detection for complex question answering over knowledge graph	Zhang, Q., Tong, P., Yao, J., Wang, X.	Qifan Zhang/ Peihao Tong/ Junjie Yao/ Xiaoling Wang	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092076378&doi=10.1007%2f978-3-030-59416-9_38&partnerID=40&md5=bc83d3ae92766837e8f46a8b81f3c647	Conference	17	0	DASFAA: International Conference on Database Systems for Advanced Applications	DASFAA	2020	Multi-hop questions	Bi-CNN, Bi-LSTM, Residual network	Semantic Parsing, Neural Networks	MRD	S	X	InsKG	Accuracy	WebQuestions, InsKG	We combine the relation detection and question answering together in a natural way. We utilize the features extracted from question logs and knowledge graph for the relation detection.	Given an input question, we first extract the local features within the input question and embed the candidate relations. As well as the local question analysis and knowledge graph extraction, we also enrich global features, leveraging the existing question corpus and the global knowledge graph context to improve the relation detection performance in a mutually way.		General	X	X
51	da2020sparql	Sparql query generation for complex question answering with bert and bilstm-based model	Evseev, D.A., Arkhipov, M.Yu.	Evseev D. A./ Arkhipov M. Yu.	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093841029&doi=10.28995%2f2075-7182-2020-19-270-282&partnerID=40&md5=4cca35e19a8fd2eadfa9f5aabe033c68	Conference	?	0	Computational Linguistics and Intellectual Technologies: Proceedings of the International Conference “Dialogue 2020”	Computational Linguistics and Intellectual Technologies: Proceedings of the International Conference “Dialogue 2020”	2020	Multi-hop questions, Contraints questions	WDAqua, QAmp	Semantic Parsing, Neural Networks	X	S	X	Wikidata	Precision, Recall, F1, Accuracy	LC-QuAD, LC-QuAD2	The system translates a natural language question into a query in SPARQL language, execution of which gives an answer. The system is capable of answering complex questions which require logical or comparative reasoning.	We decompose the task of KBQA into query template prediction, entity detection, entity linking, relation ranking, path ranking, constraint extraction and generation of query from extracted entities, relations and constraints.	LC-QUAD 2.0	General	X	X
52	li2020natural	Natural Answer Generation via Graph Transformer	Li, X., Hu, S., Zou, L.	Xiangyu Li/ Sen Hu/ Lei Zou	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093956437&doi=10.1007%2f978-3-030-60259-8_23&partnerID=40&md5=198d0597fe630f02ad20762e0cd335aa	Conference	9	0	4th International Joint Conference, APWeb-WAIM 2020	APWeb-WAIM	2020	Multi-hop questions	GenQA, COREQA, HM-NAG	Semantic Parsing, Neural Networks	G-NAG	S	X	Dbpedia	Performace, BLEU-4, METEOR, ASU-acc	WikiMovies, wikimovie-multihops	Checks all possible paths, retrieves a lot of information and then performs a stronger process of disambiguation and simplification	Generally, the popular NAG framework consists of three modules. Knowledge extractor recognizes the topic entity and retrieves its related triples from the underlying Knowledge Base		General	X	
53	hua2020retrieve	Retrieve, Program, Repeat: Complex Knowledge Base Question Answering via Alternate Meta-learning	Yuncheng Hua, Yuan-Fang Li, Gholamreza Haffari, Guilin Qi, Wei Wu	Yuncheng Hua/ Yuan-Fang Li/ Gholamreza Haffari/ Guilin Qi/ Wei Wu	https://www.ijcai.org/Proceedings/2020/0509.pdf	Conference	95	0	International Joint Conference on Artificial Intelligence (IJCAI-20)	IJCAI	2020	Multi-hop questions, Contraints questions	HRED-KVmem, CITIPT	Neural Networks	MARL	S	https://github.com/DevinJake/MARL	Wikidata	F1, Accuracy	CSQA/CQA			In the CQA dataset, we randomly sampled approximately 1% of the training set (10,353 out of 944K training samples) and annotated them with pseudo-gold action sequences with a breadth-first-search (BFS) algorithm [Guo et al., 2018].	General	X	
54	hua2020few	Few-Shot Complex Knowledge Base Question Answering via Meta Reinforcement Learning	Yuncheng Hua, Yuan-Fang Li, Gholamreza Haffari, Guilin Qi, Tongtong Wu	Yuncheng Hua/ Yuan-Fang Li/ Gholamreza Haffari/ Guilin Qi/ Tongtong Wu	https://www.aclweb.org/anthology/2020.emnlp-main.469/	Conference	112	0	Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)	EMNLP	2020	Multi-hop questions, Contraints questions	HRED-KVmem, CITIPT, NSM	Neural Networks	MRL-CQA	S	https://github.com/DevinJake/MRL-CQA	Wikidata	F1	CSQA/CQA				General	X	
